Gm#,Date,Opp,R,RA,Attendance
1,2015-04-05,STL,0,3,35055
2,2015-04-08,STL,2,0,26814
3,2015-04-10,COL,1,5,49303
4,2015-04-11,COL,9,5,43812
5,2015-04-12,COL,6,5,41363
6,2015-04-13,CIN,7,6,26390
7,2015-04-14,CIN,2,3,27525
8,2015-04-15,CIN,5,0,29205
9,2015-04-17,SDP,4,5,32138
10,2015-04-18,SDP,7,6,33958
11,2015-04-19,SDP,2,5,29113
12,2015-04-20,PIT,5,2,11777
13,2015-04-21,PIT,9,8,13680
14,2015-04-22,PIT,3,4,15101
15,2015-04-23,PIT,4,5,22224
16,2015-04-24,CIN,7,3,39891
17,2015-04-26,CIN,5,2,38954
18,2015-04-27,PIT,4,0,29159
19,2015-04-28,PIT,6,2,29915
20,2015-04-29,PIT,1,8,30634
21,2015-05-01,MIL,1,0,31128
22,2015-05-02,MIL,1,6,34878
23,2015-05-03,MIL,3,5,33398
24,2015-05-04,STL,9,10,41981
25,2015-05-05,STL,4,7,41613
26,2015-05-06,STL,6,5,42207
27,2015-05-07,STL,1,5,44472
28,2015-05-08,MIL,7,6,38283
29,2015-05-09,MIL,4,12,39600
30,2015-05-10,MIL,2,3,41467
31,2015-05-11,NYM,4,3,32980
32,2015-05-12,NYM,6,1,31542
33,2015-05-13,NYM,2,1,33709
34,2015-05-14,NYM,6,5,31496
35,2015-05-15,PIT,11,10,33617
36,2015-05-16,PIT,4,1,38883
37,2015-05-17,PIT,0,3,36289
38,2015-05-19,SDP,3,4,25917
39,2015-05-20,SDP,3,2,25028
40,2015-05-21,SDP,3,0,30021
41,2015-05-22,ARI,4,5,34498
42,2015-05-23,ARI,9,6,30502
43,2015-05-24,ARI,3,4,39660
44,2015-05-25,WSN,1,2,38463
45,2015-05-26,WSN,3,2,30440
46,2015-05-27,WSN,0,3,34215
47,2015-05-29,KCR,4,8,34273
48,2015-05-31,KCR,2,1,37766
49,2015-06-01,MIA,5,1,20964
50,2015-06-02,MIA,2,5,23789
51,2015-06-03,MIA,3,7,22962
52,2015-06-04,WSN,2,1,35465
53,2015-06-05,WSN,5,7,36124
54,2015-06-06,WSN,4,2,38214
55,2015-06-07,WSN,6,3,40939
56,2015-06-09,DET,0,6,33301
57,2015-06-10,DET,12,3,33397
58,2015-06-11,CIN,6,3,35031
59,2015-06-12,CIN,4,5,40016
60,2015-06-13,CIN,4,3,40693
61,2015-06-14,CIN,2,1,33201
62,2015-06-16,CLE,0,6,35914
63,2015-06-17,CLE,17,0,15572
64,2015-06-18,CLE,3,4,15891
65,2015-06-19,MIN,2,7,36817
66,2015-06-20,MIN,4,1,40066
67,2015-06-21,MIN,8,0,40273
68,2015-06-22,LAD,4,2,35147
69,2015-06-23,LAD,1,0,36799
70,2015-06-24,LAD,2,5,36653
71,2015-06-25,LAD,0,4,41498
72,2015-06-26,STL,2,3,45558
73,2015-06-27,STL,1,8,46407
74,2015-06-28,STL,1,4,45384
75,2015-06-30,NYM,1,0,27084
76,2015-07-01,NYM,2,0,23906
77,2015-07-02,NYM,6,1,27207
78,2015-07-03,MIA,1,2,41212
79,2015-07-04,MIA,7,2,37898
80,2015-07-05,MIA,2,0,37764
81,2015-07-06,STL,0,6,37609
82,2015-07-07,STL,7,4,34368
83,2015-07-07,STL,5,3,35703
84,2015-07-08,STL,5,6,37993
85,2015-07-10,CHW,0,1,41580
86,2015-07-11,CHW,1,5,41596
87,2015-07-12,CHW,3,1,41688
88,2015-07-17,ATL,2,4,42532
89,2015-07-18,ATL,4,0,45758
90,2015-07-19,ATL,4,1,31690
91,2015-07-20,CIN,4,5,34900
92,2015-07-21,CIN,5,4,36845
93,2015-07-22,CIN,1,9,35093
94,2015-07-22,CIN,6,5,39183
95,2015-07-24,PHI,3,5,41230
96,2015-07-25,PHI,0,5,41683
97,2015-07-26,PHI,5,11,41123
98,2015-07-27,COL,9,8,35070
99,2015-07-28,COL,2,7,36747
100,2015-07-29,COL,3,2,38874
101,2015-07-30,MIL,5,2,36306
102,2015-07-31,MIL,4,1,35669
103,2015-08-01,MIL,4,2,41720
104,2015-08-02,MIL,4,3,38536
105,2015-08-04,PIT,5,0,34993
106,2015-08-05,PIT,5,7,35759
107,2015-08-06,SFG,5,4,41242
108,2015-08-07,SFG,7,3,41311
109,2015-08-08,SFG,8,6,41305
110,2015-08-09,SFG,2,0,39939
111,2015-08-11,MIL,6,3,37109
112,2015-08-12,MIL,3,2,36438
113,2015-08-13,MIL,9,2,40799
114,2015-08-14,CHW,6,5,36386
115,2015-08-15,CHW,6,3,39579
116,2015-08-16,CHW,1,3,39475
117,2015-08-18,DET,8,10,39684
118,2015-08-19,DET,8,15,40310
119,2015-08-20,ATL,7,1,34633
120,2015-08-21,ATL,5,3,39211
121,2015-08-22,ATL,9,7,41196
122,2015-08-23,ATL,9,3,39581
123,2015-08-24,CLE,2,1,36283
124,2015-08-25,SFG,8,5,41595
125,2015-08-26,SFG,2,4,41640
126,2015-08-27,SFG,1,9,41847
127,2015-08-28,LAD,1,4,44874
128,2015-08-29,LAD,2,5,51697
129,2015-08-30,LAD,2,0,46679
130,2015-08-31,CIN,6,13,34017
131,2015-09-01,CIN,5,4,33756
132,2015-09-02,CIN,4,7,31165
133,2015-09-04,ARI,14,5,36132
134,2015-09-05,ARI,2,0,
135,2015-09-06,ARI,6,4,41183
136,2015-09-07,STL,9,0,45986
137,2015-09-08,STL,8,5,42206
138,2015-09-09,STL,3,4,43557
139,2015-09-11,PHI,5,1,
140,2015-09-11,PHI,7,3,22538
141,2015-09-12,PHI,5,7,20813
142,2015-09-13,PHI,4,7,23450
143,2015-09-15,PIT,4,5,31488
144,2015-09-15,PIT,2,1,25914
145,2015-09-16,PIT,3,2,31945
146,2015-09-17,PIT,9,6,28228
147,2015-09-18,STL,8,3,40846
148,2015-09-19,STL,5,4,40994
149,2015-09-20,STL,3,4,40962
150,2015-09-21,MIL,9,5,34373
151,2015-09-22,MIL,4,0,36270
152,2015-09-23,MIL,1,4,37559
153,2015-09-25,PIT,2,3,40432
154,2015-09-26,PIT,0,4,41150
155,2015-09-27,PIT,4,0,40617
156,2015-09-28,KCR,1,0,40552
157,2015-09-29,CIN,4,1,18168
158,2015-09-30,CIN,10,3,21397
159,2015-10-01,CIN,5,3,26352
160,2015-10-02,MIL,6,1,30044
161,2015-10-03,MIL,1,0,35291
162,2015-10-04,MIL,3,1,32959